?	unspecified (?)
FungiDB-29_Acandida2VRR_Genome	FungiDB-29_Acandida2VRR_Genome
FungiDB-29_AclavatusNRRL1_Genome	FungiDB-29_AclavatusNRRL1_Genome
FungiDB-29_AfischeriNRRL181_Genome	FungiDB-29_AfischeriNRRL181_Genome
FungiDB-29_AflavusNRRL3357_Genome	FungiDB-29_AflavusNRRL3357_Genome
FungiDB-29_AfumigatusAf293_Genome	FungiDB-29_AfumigatusAf293_Genome
FungiDB-29_AinvadansNJM9701_Genome	FungiDB-29_AinvadansNJM9701_Genome
FungiDB-29_AlaibachiiNc14_Genome	FungiDB-29_AlaibachiiNc14_Genome
FungiDB-29_AmacrogynusATCC38327_Genome	FungiDB-29_AmacrogynusATCC38327_Genome
FungiDB-29_AnidulansFGSCA4_Genome	FungiDB-29_AnidulansFGSCA4_Genome
FungiDB-29_AnigerCBS513-88_Genome	FungiDB-29_AnigerCBS513-88_Genome
FungiDB-29_AoryzaeRIB40_Genome	FungiDB-29_AoryzaeRIB40_Genome
FungiDB-29_AterreusNIH2624_Genome	FungiDB-29_AterreusNIH2624_Genome
FungiDB-29_BdendrobatidisJEL423_Genome	FungiDB-29_BdendrobatidisJEL423_Genome
FungiDB-29_Ccinereaokay7-130_Genome	FungiDB-29_Ccinereaokay7-130_Genome
FungiDB-29_CdeuterogattiiR265_Genome	FungiDB-29_CdeuterogattiiR265_Genome
FungiDB-29_CgattiiWM276_Genome	FungiDB-29_CgattiiWM276_Genome
FungiDB-29_CimmitisH538-4_Genome	FungiDB-29_CimmitisH538-4_Genome
FungiDB-29_CimmitisRMSCC2394_Genome	FungiDB-29_CimmitisRMSCC2394_Genome
FungiDB-29_CimmitisRMSCC3703_Genome	FungiDB-29_CimmitisRMSCC3703_Genome
FungiDB-29_CimmitisRS_Genome	FungiDB-29_CimmitisRS_Genome
FungiDB-29_CneoformansB-3501A_Genome	FungiDB-29_CneoformansB-3501A_Genome
FungiDB-29_CneoformansH99_Genome	FungiDB-29_CneoformansH99_Genome
FungiDB-29_CneoformansJEC21_Genome	FungiDB-29_CneoformansJEC21_Genome
FungiDB-29_CposadasiiC735deltSOWgp_Genome	FungiDB-29_CposadasiiC735deltSOWgp_Genome
FungiDB-29_CposadasiiCPA0001_Genome	FungiDB-29_CposadasiiCPA0001_Genome
FungiDB-29_CposadasiiCPA0020_Genome	FungiDB-29_CposadasiiCPA0020_Genome
FungiDB-29_CposadasiiCPA0066_Genome	FungiDB-29_CposadasiiCPA0066_Genome
FungiDB-29_CposadasiiRMSCC1037_Genome	FungiDB-29_CposadasiiRMSCC1037_Genome
FungiDB-29_CposadasiiRMSCC1038_Genome	FungiDB-29_CposadasiiRMSCC1038_Genome
FungiDB-29_CposadasiiRMSCC2133_Genome	FungiDB-29_CposadasiiRMSCC2133_Genome
FungiDB-29_CposadasiiRMSCC3488_Genome	FungiDB-29_CposadasiiRMSCC3488_Genome
FungiDB-29_CposadasiiRMSCC3700_Genome	FungiDB-29_CposadasiiRMSCC3700_Genome
FungiDB-29_CposadasiiSilveira_Genome	FungiDB-29_CposadasiiSilveira_Genome
FungiDB-29_Foxysporum4287_Genome	FungiDB-29_Foxysporum4287_Genome
FungiDB-29_Fverticillioides7600_Genome	FungiDB-29_Fverticillioides7600_Genome
FungiDB-29_HarabidopsidisEmoy2_Genome	FungiDB-29_HarabidopsidisEmoy2_Genome
FungiDB-29_HcapsulatumG186AR_Genome	FungiDB-29_HcapsulatumG186AR_Genome
FungiDB-29_HcapsulatumNAm1_Genome	FungiDB-29_HcapsulatumNAm1_Genome
FungiDB-29_McircinelloidesCBS277-49_Genome	FungiDB-29_McircinelloidesCBS277-49_Genome
FungiDB-29_MglobosaCBS7966_Genome	FungiDB-29_MglobosaCBS7966_Genome
FungiDB-29_Mlarici-populina98AG31_Genome	FungiDB-29_Mlarici-populina98AG31_Genome
FungiDB-29_Moryzae70-15_Genome	FungiDB-29_Moryzae70-15_Genome
FungiDB-29_NcrassaOR74A_Genome	FungiDB-29_NcrassaOR74A_Genome
FungiDB-29_NdiscretaFGSC8579_Genome	FungiDB-29_NdiscretaFGSC8579_Genome
FungiDB-29_NtetraspermaFGSC2508_Genome	FungiDB-29_NtetraspermaFGSC2508_Genome
FungiDB-29_PaphanidermatumDAOMBR444_Genome	FungiDB-29_PaphanidermatumDAOMBR444_Genome
FungiDB-29_ParrhenomanesATCC12531_Genome	FungiDB-29_ParrhenomanesATCC12531_Genome
FungiDB-29_PblakesleeanusNRRL1555_Genome	FungiDB-29_PblakesleeanusNRRL1555_Genome
FungiDB-29_PcapsiciLT1534_Genome	FungiDB-29_PcapsiciLT1534_Genome
FungiDB-29_PchrysosporiumRP-78_Genome	FungiDB-29_PchrysosporiumRP-78_Genome
FungiDB-29_PcinnamomiCBS144-22_Genome	FungiDB-29_PcinnamomiCBS144-22_Genome
FungiDB-29_PgraminisCRL75-36-700-3_Genome	FungiDB-29_PgraminisCRL75-36-700-3_Genome
FungiDB-29_PinfestansT30-4_Genome	FungiDB-29_PinfestansT30-4_Genome
FungiDB-29_PirregulareDAOMBR486_Genome	FungiDB-29_PirregulareDAOMBR486_Genome
FungiDB-29_PiwayamaiDAOMBR242034_Genome	FungiDB-29_PiwayamaiDAOMBR242034_Genome
FungiDB-29_PjiroveciiSE8_Genome	FungiDB-29_PjiroveciiSE8_Genome
FungiDB-29_PparasiticaINRA-310_Genome	FungiDB-29_PparasiticaINRA-310_Genome
FungiDB-29_PramorumPr-102_Genome	FungiDB-29_PramorumPr-102_Genome
FungiDB-29_PsojaeP6497_Genome	FungiDB-29_PsojaeP6497_Genome
FungiDB-29_PultimumBR650_Genome	FungiDB-29_PultimumBR650_Genome
FungiDB-29_PultimumDAOMBR144_Genome	FungiDB-29_PultimumDAOMBR144_Genome
FungiDB-29_PvexansDAOMBR484_Genome	FungiDB-29_PvexansDAOMBR484_Genome
FungiDB-29_RdelemarRA99-880_Genome	FungiDB-29_RdelemarRA99-880_Genome
FungiDB-29_ScerevisiaeS288c_Genome	FungiDB-29_ScerevisiaeS288c_Genome
FungiDB-29_SdiclinaVS20_Genome	FungiDB-29_SdiclinaVS20_Genome
FungiDB-29_SjaponicusyFS275_Genome	FungiDB-29_SjaponicusyFS275_Genome
FungiDB-29_Smacrosporak-hell_Genome	FungiDB-29_Smacrosporak-hell_Genome
FungiDB-29_SoctosporusyFS286_Genome	FungiDB-29_SoctosporusyFS286_Genome
FungiDB-29_SparasiticaCBS223-65_Genome	FungiDB-29_SparasiticaCBS223-65_Genome
FungiDB-29_Spombe972h_Genome	FungiDB-29_Spombe972h_Genome
FungiDB-29_SpunctatusDAOMBR117_Genome	FungiDB-29_SpunctatusDAOMBR117_Genome
FungiDB-29_SreilianumSRZ2_Genome	FungiDB-29_SreilianumSRZ2_Genome
FungiDB-29_Ssclerotiorum1980UF-70_Genome	FungiDB-29_Ssclerotiorum1980UF-70_Genome
FungiDB-29_TmarneffeiATCC18224_Genome	FungiDB-29_TmarneffeiATCC18224_Genome
FungiDB-29_TmesentericaDSM1558_Genome	FungiDB-29_TmesentericaDSM1558_Genome
FungiDB-29_TreeseiQM6a_Genome	FungiDB-29_TreeseiQM6a_Genome
FungiDB-29_TstipitatusATCC10500_Genome	FungiDB-29_TstipitatusATCC10500_Genome
FungiDB-29_Umaydis521_Genome	FungiDB-29_Umaydis521_Genome
FungiDB-29_YlipolyticaCLIB122_Genome	FungiDB-29_YlipolyticaCLIB122_Genome
FungiDB-30_PbrasiliensisPb03_Genome	FungiDB-30_PbrasiliensisPb03_Genome
FungiDB-30_PbrasiliensisPb18_Genome	FungiDB-30_PbrasiliensisPb18_Genome
FungiDB-30_PlutziiPb01_Genome	FungiDB-30_PlutziiPb01_Genome
FungiDB-31_FfujikuroiIMI58289_Genome	FungiDB-31_FfujikuroiIMI58289_Genome
FungiDB-31_FgraminearumPH-1_Genome	FungiDB-31_FgraminearumPH-1_Genome
FungiDB-33_AaculeatusATCC16872_Genome	FungiDB-33_AaculeatusATCC16872_Genome
FungiDB-33_AbrasiliensisCBS101740_Genome	FungiDB-33_AbrasiliensisCBS101740_Genome
FungiDB-33_AcarbonariusITEM5010_Genome	FungiDB-33_AcarbonariusITEM5010_Genome
FungiDB-33_AfumigatusA1163_Genome	FungiDB-33_AfumigatusA1163_Genome
FungiDB-33_AglaucusCBS516.65_Genome	FungiDB-33_AglaucusCBS516.65_Genome
FungiDB-33_AluchuensisCBS106.47_Genome	FungiDB-33_AluchuensisCBS106.47_Genome
FungiDB-33_AsydowiiCBS593.65_Genome	FungiDB-33_AsydowiiCBS593.65_Genome
FungiDB-33_AtubingensisCBS134.48_Genome	FungiDB-33_AtubingensisCBS134.48_Genome
FungiDB-33_AversicolorCBS583.65_Genome	FungiDB-33_AversicolorCBS583.65_Genome
FungiDB-33_AwentiiDTO134E9_Genome	FungiDB-33_AwentiiDTO134E9_Genome
FungiDB-33_AzonataCBS506.65_Genome	FungiDB-33_AzonataCBS506.65_Genome
FungiDB-34_ClusitaniaeATCC42720_Genome	FungiDB-34_ClusitaniaeATCC42720_Genome
FungiDB-34_MoryzaeBR32_Genome	FungiDB-34_MoryzaeBR32_Genome
FungiDB-34_Ureesii1704_Genome	FungiDB-34_Ureesii1704_Genome
FungiDB-34_ZtriticiIPO323_Genome	FungiDB-34_ZtriticiIPO323_Genome
FungiDB-35_CgattiiCA1873_Genome	FungiDB-35_CgattiiCA1873_Genome
FungiDB-35_CgattiiIND107_Genome	FungiDB-35_CgattiiIND107_Genome
FungiDB-36_Foxysporum54006_Genome	FungiDB-36_Foxysporum54006_Genome
FungiDB-36_FoxysporumFo47_Genome	FungiDB-36_FoxysporumFo47_Genome
FungiDB-36_HcapsulatumG217B_Genome	FungiDB-36_HcapsulatumG217B_Genome
FungiDB-36_HcapsulatumH88_Genome	FungiDB-36_HcapsulatumH88_Genome
FungiDB-36_PrubensWisconsin54-1255_Genome	FungiDB-36_PrubensWisconsin54-1255_Genome
FungiDB-37_CaurisB8441_Genome	FungiDB-37_CaurisB8441_Genome
FungiDB-38_AcampestrisIBT28561_Genome	FungiDB-38_AcampestrisIBT28561_Genome
FungiDB-38_AnovofumigatusIBT16806_Genome	FungiDB-38_AnovofumigatusIBT16806_Genome
FungiDB-38_AsteyniiIBT23096_Genome	FungiDB-38_AsteyniiIBT23096_Genome
FungiDB-38_CgattiiEJB2_Genome	FungiDB-38_CgattiiEJB2_Genome
FungiDB-38_Foxysporum26406_Genome	FungiDB-38_Foxysporum26406_Genome
FungiDB-38_Foxysporumrace1_Genome	FungiDB-38_Foxysporumrace1_Genome
FungiDB-38_Foxysporumrace4_Genome	FungiDB-38_Foxysporumrace4_Genome
FungiDB-38_HcapsulatumH143_Genome	FungiDB-38_HcapsulatumH143_Genome
FungiDB-39_AochraceoroseusIBT24754_Genome	FungiDB-39_AochraceoroseusIBT24754_Genome
FungiDB-39_BcinereaB05-10_Genome	FungiDB-39_BcinereaB05-10_Genome
FungiDB-39_CalbicansSC5314_B_Genome	FungiDB-39_CalbicansSC5314_B_Genome
FungiDB-39_CalbicansSC5314_Genome	FungiDB-39_CalbicansSC5314_Genome
FungiDB-39_CalbicansWO1_Genome	FungiDB-39_CalbicansWO1_Genome
FungiDB-39_CglabrataCBS138_Genome	FungiDB-39_CglabrataCBS138_Genome
FungiDB-39_Sschenckii1099-18_Genome	FungiDB-39_Sschenckii1099-18_Genome
FungiDB-41_AkawachiiIFO4308_Genome	FungiDB-41_AkawachiiIFO4308_Genome
FungiDB-41_AnigerATCC1015_Genome	FungiDB-41_AnigerATCC1015_Genome
FungiDB-41_AnigerN402ATCC64974_Genome	FungiDB-41_AnigerN402ATCC64974_Genome
FungiDB-41_CgattiiNT10_Genome	FungiDB-41_CgattiiNT10_Genome
FungiDB-41_FproliferatumET1_Genome	FungiDB-41_FproliferatumET1_Genome
FungiDB-41_LprolificansJHH5317_Genome	FungiDB-41_LprolificansJHH5317_Genome
FungiDB-41_SapiospermumIHEM14462_Genome	FungiDB-41_SapiospermumIHEM14462_Genome
FungiDB-41_Sbrasiliensis5110_Genome	FungiDB-41_Sbrasiliensis5110_Genome
FungiDB-41_YlipolyticaCLIB89W29_Genome	FungiDB-41_YlipolyticaCLIB89W29_Genome
FungiDB-42_CneoformansKN99_Genome	FungiDB-42_CneoformansKN99_Genome
FungiDB-42_CparapsilosisCDC317_Genome	FungiDB-42_CparapsilosisCDC317_Genome
FungiDB-42_FoxysporumFOSC3a_Genome	FungiDB-42_FoxysporumFOSC3a_Genome
FungiDB-42_FproliferatumNRRL62905_Genome	FungiDB-42_FproliferatumNRRL62905_Genome
FungiDB-42_KbestiolaeCBS10118_Genome	FungiDB-42_KbestiolaeCBS10118_Genome
FungiDB-42_KdejecticolaCBS10117_Genome	FungiDB-42_KdejecticolaCBS10117_Genome
FungiDB-43_AnigerATCC13496_Genome	FungiDB-43_AnigerATCC13496_Genome
FungiDB-43_CcarrioniiKSF_Genome	FungiDB-43_CcarrioniiKSF_Genome
FungiDB-43_CtropicalisMYA3404_Genome	FungiDB-43_CtropicalisMYA3404_Genome
FungiDB-43_EoligospermaCBS72588_Genome	FungiDB-43_EoligospermaCBS72588_Genome
FungiDB-43_FpedrosoiCBS271-37_Genome	FungiDB-43_FpedrosoiCBS271-37_Genome
FungiDB-43_KheveanensisCBS569_Genome	FungiDB-43_KheveanensisCBS569_Genome
FungiDB-43_Ptriticina1-1BBBDRace1_Genome	FungiDB-43_Ptriticina1-1BBBDRace1_Genome
FungiDB-44_CimmundaCBS83496_Genome	FungiDB-44_CimmundaCBS83496_Genome
FungiDB-44_RirregularisDAOM181602_Genome	FungiDB-44_RirregularisDAOM181602_Genome
FungiDB-45_CduobushaemulonisB09383_Genome	FungiDB-45_CduobushaemulonisB09383_Genome
FungiDB-45_Cgeophilum1.58_Genome	FungiDB-45_Cgeophilum1.58_Genome
FungiDB-45_EmesophilaCBS40295_Genome	FungiDB-45_EmesophilaCBS40295_Genome
FungiDB-45_TvirensGv29-8_Genome	FungiDB-45_TvirensGv29-8_Genome
FungiDB-46_CeuropaeaCBS101466_Genome	FungiDB-46_CeuropaeaCBS101466_Genome
FungiDB-46_ChaemulonisB11899_Genome	FungiDB-46_ChaemulonisB11899_Genome
FungiDB-46_Mcircinelloides1006PhL_Genome	FungiDB-46_Mcircinelloides1006PhL_Genome
FungiDB-46_MrestrictaKCTC27527_Genome	FungiDB-46_MrestrictaKCTC27527_Genome
FungiDB-46_Ppalmivorasbr112.9_Genome	FungiDB-46_Ppalmivorasbr112.9_Genome
FungiDB-46_RirregularisA1DAOM664342_Genome	FungiDB-46_RirregularisA1DAOM664342_Genome
GiardiaDB-29_GintestinalisAssemblageADH_Genome	GiardiaDB-29_GintestinalisAssemblageADH_Genome
GiardiaDB-29_GintestinalisAssemblageAWB_Genome	GiardiaDB-29_GintestinalisAssemblageAWB_Genome
GiardiaDB-29_GintestinalisAssemblageBGS_B_Genome	GiardiaDB-29_GintestinalisAssemblageBGS_B_Genome
GiardiaDB-29_GintestinalisAssemblageBGS_Genome	GiardiaDB-29_GintestinalisAssemblageBGS_Genome
GiardiaDB-29_GintestinalisAssemblageEP15_Genome	GiardiaDB-29_GintestinalisAssemblageEP15_Genome
GiardiaDB-29_SsalmonicidaATCC50377_Genome	GiardiaDB-29_SsalmonicidaATCC50377_Genome
GiardiaDB-45_GmurisRobertsThomson_Genome	GiardiaDB-45_GmurisRobertsThomson_Genome
GiardiaDB-46_MexilisPA203_Genome	GiardiaDB-46_MexilisPA203_Genome
HostDB-29_HsapiensREF_Genome	HostDB-29_HsapiensREF_Genome
HostDB-29_MmusculusC57BL6J_Genome	HostDB-29_MmusculusC57BL6J_Genome
HostDB-34_Mmulatta17573_Genome	HostDB-34_Mmulatta17573_Genome
HostDB-42_BtaurusHereford_Genome	HostDB-42_BtaurusHereford_Genome
MicrosporidiaDB-29_AalgeraePRA109_Genome	MicrosporidiaDB-29_AalgeraePRA109_Genome
MicrosporidiaDB-29_AalgeraePRA339_Genome	MicrosporidiaDB-29_AalgeraePRA339_Genome
MicrosporidiaDB-29_AalgeraeUndeen_Genome	MicrosporidiaDB-29_AalgeraeUndeen_Genome
MicrosporidiaDB-29_EaedisUSNM41457_Genome	MicrosporidiaDB-29_EaedisUSNM41457_Genome
MicrosporidiaDB-29_EbieneusiH348_Genome	MicrosporidiaDB-29_EbieneusiH348_Genome
MicrosporidiaDB-29_EcuniculiEC1_Genome	MicrosporidiaDB-29_EcuniculiEC1_Genome
MicrosporidiaDB-29_EcuniculiEC2_Genome	MicrosporidiaDB-29_EcuniculiEC2_Genome
MicrosporidiaDB-29_EcuniculiEC3_Genome	MicrosporidiaDB-29_EcuniculiEC3_Genome
MicrosporidiaDB-29_EcuniculiGBM1_Genome	MicrosporidiaDB-29_EcuniculiGBM1_Genome
MicrosporidiaDB-29_EhellemATCC50504_Genome	MicrosporidiaDB-29_EhellemATCC50504_Genome
MicrosporidiaDB-29_EhellemSwiss_Genome	MicrosporidiaDB-29_EhellemSwiss_Genome
MicrosporidiaDB-29_EintestinalisATCC50506_Genome	MicrosporidiaDB-29_EintestinalisATCC50506_Genome
MicrosporidiaDB-29_EromaleaeSJ2008_Genome	MicrosporidiaDB-29_EromaleaeSJ2008_Genome
MicrosporidiaDB-29_HtvaerminnensisOER-3-3_Genome	MicrosporidiaDB-29_HtvaerminnensisOER-3-3_Genome
MicrosporidiaDB-29_MdaphniaeUGP3_Genome	MicrosporidiaDB-29_MdaphniaeUGP3_Genome
MicrosporidiaDB-29_NbombycisCQ1_Genome	MicrosporidiaDB-29_NbombycisCQ1_Genome
MicrosporidiaDB-29_NceranaeBRL01_Genome	MicrosporidiaDB-29_NceranaeBRL01_Genome
MicrosporidiaDB-29_NematocidaSp1ERTm2_Genome	MicrosporidiaDB-29_NematocidaSp1ERTm2_Genome
MicrosporidiaDB-29_NparisiiERTm1_Genome	MicrosporidiaDB-29_NparisiiERTm1_Genome
MicrosporidiaDB-29_NparisiiERTm3_Genome	MicrosporidiaDB-29_NparisiiERTm3_Genome
MicrosporidiaDB-29_Nsp1ERTm6_Genome	MicrosporidiaDB-29_Nsp1ERTm6_Genome
MicrosporidiaDB-29_OcolligataOC4_Genome	MicrosporidiaDB-29_OcolligataOC4_Genome
MicrosporidiaDB-29_Slophii42_110_Genome	MicrosporidiaDB-29_Slophii42_110_Genome
MicrosporidiaDB-29_ThominisUnknown_Genome	MicrosporidiaDB-29_ThominisUnknown_Genome
MicrosporidiaDB-29_VcorneaeATCC50505_Genome	MicrosporidiaDB-29_VcorneaeATCC50505_Genome
MicrosporidiaDB-29_Vculicisfloridensis_Genome	MicrosporidiaDB-29_Vculicisfloridensis_Genome
MicrosporidiaDB-31_PneurophiliaMK1_Genome	MicrosporidiaDB-31_PneurophiliaMK1_Genome
MicrosporidiaDB-33_NausubeliERTm2_Genome	MicrosporidiaDB-33_NausubeliERTm2_Genome
MicrosporidiaDB-33_NausubeliERTm6_Genome	MicrosporidiaDB-33_NausubeliERTm6_Genome
MicrosporidiaDB-36_NdisplodereJUm2807_Genome	MicrosporidiaDB-36_NdisplodereJUm2807_Genome
MicrosporidiaDB-39_EcanceriGB1_Genome	MicrosporidiaDB-39_EcanceriGB1_Genome
MicrosporidiaDB-39_EhepatopenaeiTH1_Genome	MicrosporidiaDB-39_EhepatopenaeiTH1_Genome
MicrosporidiaDB-39_HeriocheirGB1_Genome	MicrosporidiaDB-39_HeriocheirGB1_Genome
MicrosporidiaDB-39_Heriocheircanceri_Genome	MicrosporidiaDB-39_Heriocheircanceri_Genome
MicrosporidiaDB-41_AspWSBS2006_Genome	MicrosporidiaDB-41_AspWSBS2006_Genome
MicrosporidiaDB-41_EcuniculiEcunIII-L_Genome	MicrosporidiaDB-41_EcuniculiEcunIII-L_Genome
MicrosporidiaDB-41_NceranaePA08_1199_Genome	MicrosporidiaDB-41_NceranaePA08_1199_Genome
PiroplasmaDB-29_BbigeminaBOND_Genome	PiroplasmaDB-29_BbigeminaBOND_Genome
PiroplasmaDB-29_BbovisT2Bo_Genome	PiroplasmaDB-29_BbovisT2Bo_Genome
PiroplasmaDB-29_CfelisWinnie_Genome	PiroplasmaDB-29_CfelisWinnie_Genome
PiroplasmaDB-29_TannulataAnkara_Genome	PiroplasmaDB-29_TannulataAnkara_Genome
PiroplasmaDB-29_TequiWA_Genome	PiroplasmaDB-29_TequiWA_Genome
PiroplasmaDB-29_TorientalisShintoku_Genome	PiroplasmaDB-29_TorientalisShintoku_Genome
PiroplasmaDB-29_TparvaMuguga_Genome	PiroplasmaDB-29_TparvaMuguga_Genome
PiroplasmaDB-36_BmicrotiRI_Genome	PiroplasmaDB-36_BmicrotiRI_Genome
PiroplasmaDB-37_BovataMiyake_Genome	PiroplasmaDB-37_BovataMiyake_Genome
PiroplasmaDB-42_Bdivergens1802A_Genome	PiroplasmaDB-42_Bdivergens1802A_Genome
PlasmoDB-29_Pchabaudichabaudi_Genome	PlasmoDB-29_Pchabaudichabaudi_Genome
PlasmoDB-29_PcynomolgiB_Genome	PlasmoDB-29_PcynomolgiB_Genome
PlasmoDB-29_Pfalciparum3D7_Genome	PlasmoDB-29_Pfalciparum3D7_Genome
PlasmoDB-29_PknowlesiH_Genome	PlasmoDB-29_PknowlesiH_Genome
PlasmoDB-29_PreichenowiCDC_Genome	PlasmoDB-29_PreichenowiCDC_Genome
PlasmoDB-29_PvivaxSal1_Genome	PlasmoDB-29_PvivaxSal1_Genome
PlasmoDB-29_Pyoeliiyoelii17XNL_Genome	PlasmoDB-29_Pyoeliiyoelii17XNL_Genome
PlasmoDB-29_PyoeliiyoeliiYM_Genome	PlasmoDB-29_PyoeliiyoeliiYM_Genome
PlasmoDB-30_PcoatneyiHackeri_Genome	PlasmoDB-30_PcoatneyiHackeri_Genome
PlasmoDB-30_PfragileNilgiri_Genome	PlasmoDB-30_PfragileNilgiri_Genome
PlasmoDB-30_PinuiSanAntonio1_Genome	PlasmoDB-30_PinuiSanAntonio1_Genome
PlasmoDB-30_PmalariaeUG01_Genome	PlasmoDB-30_PmalariaeUG01_Genome
PlasmoDB-30_PvinckeipetteriCR_Genome	PlasmoDB-30_PvinckeipetteriCR_Genome
PlasmoDB-30_Pvinckeivinckeivinckei_Genome	PlasmoDB-30_Pvinckeivinckeivinckei_Genome
PlasmoDB-30_Pyoeliiyoelii17X_Genome	PlasmoDB-30_Pyoeliiyoelii17X_Genome
PlasmoDB-32_PbergheiANKA_Genome	PlasmoDB-32_PbergheiANKA_Genome
PlasmoDB-32_Pgallinaceum8A_Genome	PlasmoDB-32_Pgallinaceum8A_Genome
PlasmoDB-32_PovalecurtisiGH01_Genome	PlasmoDB-32_PovalecurtisiGH01_Genome
PlasmoDB-35_PknowlesiMalayanPk1A_Genome	PlasmoDB-35_PknowlesiMalayanPk1A_Genome
PlasmoDB-36_PadleriG01_Genome	PlasmoDB-36_PadleriG01_Genome
PlasmoDB-36_PbillcollinsiG01_Genome	PlasmoDB-36_PbillcollinsiG01_Genome
