type		NYS Code	Octal Code		SpoDB3 -Most probable family	Random-Initalized -Most probable family
new		S00068	703777740001171		M. tuberculosis CAS	Family N8
190		S00069	000000000003731		M. tuberculosis Beijing	Family N3
new		S00070	777777477753771		Family33	Family N13
18		S00071	677776777760601		M. tuberculosis X2	Family N6
70		S00072	700076777760671		M. tuberculosis X3	Family N20
288		S00073	700377740003771		M. tuberculosis CAS	Family N8
17		S00074	677737607760771		M. tuberculosis LAM2	Family N19
38		S00075	777776407760601		M. tuberculosis LAM4	Family N4
new		S00076	777700000000071		Family35	Family N29
193		S00077	677737607660771		M. tuberculosis LAM2	Family N19
new		S00078	776737777760731		M. tuberculosis T1	Family N48
44		S00079	777777757760771		M. tuberculosis T1	Family N24
64		S00080	777777607560771		M. tuberculosis LAM9	Family N19
29		S00081	760001400000171		M. tuberculosis LAM7	Family N43
new		S00082	656573277777600		M. bovis-BCG	Family N7
new		S00083	677707477412771		M. tuberculosis EAI2	Family N10
434		S00084	760777777740371		M. tuberculosis T1	Family N24
new		S00085	757777607760771		M. tuberculosis LAM9	Family N19
42		S00086	777777607760771		M. tuberculosis LAM9	Family N19
new		S00089	700076757760771		M. tuberculosis X3	Family N20
new		S00090	636573777777600		M. bovis-BCG	Family N7
416		S00091	477777777413071		M. tuberculosis EAI3	Family N1
493		S00092	774177777413731		M. tuberculosis EAI5	Family N14
256		S00093	777777777413671		M. tuberculosis EAI5	Family N14
37		S00094	777737777760771		M. tuberculosis T1	Family N24
new		S00095	577777677561771		M. tuberculosis T1	Family N13
20		S00096	677777607760771		M. tuberculosis LAM1	Family N19
new		S00097	676573777777600		M. bovis-BCG	Family N7
444		S00113	777740001760771		M. tuberculosis T4	Family N16
new		S00114	777777774412071		M. tuberculosis EAI4	Family N14
415		S00115	477777777413771		M. tuberculosis EAI5	Family N14
new		S00116	577777777413711		M. tuberculosis EAI5	Family N14
468		S00117	067777777413031		M. tuberculosis EAI3	Family N1
new		S00118	477777177413071		M. tuberculosis EAI3	Family N1
new		S00119	077777777413011		M. tuberculosis EAI3	Family N1
new		S00120	477477777413071		M. tuberculosis EAI3	Family N1
new		S00121	777700777413700		M. tuberculosis EAI5	Family N14
5		S00122	000677777760771		M. tuberculosis T1	Family N9
172		S00123	777777777740771		M. tuberculosis T1	Family N24
398		S00124	777777607760631		M. tuberculosis LAM9	Family N19
355		S00125	477777777413031		M. tuberculosis EAI3	Family N1
new		S00126	477774377413071		M. tuberculosis EAI3	Family N1
6		S00127	077777777413731		M. tuberculosis EAI5	Family N47
349		S00128	777737777413731		M. tuberculosis EAI5	Family N14
new		S00129	777776775413700		M. tuberculosis EAI5	Family N14
new		S00130	414367777413771		M. tuberculosis EAI5	Family N47
489		S00131	767776777760601		M. tuberculosis X2	Family N6
new		S00132	777716777760601		M. tuberculosis X2	Family N6
new		S00133	777376776360601		M. tuberculosis X2	Family N6
478		S00134	617776777760601		M. tuberculosis X2	Family N6
new		S00135	777776407760611		M. tuberculosis LAM9	Family N19
new		S00136	646573777777600		M. bovis-BCG	Family N7
475		S00137	477776077411771		M. tuberculosis EAI2	Family N10
new		S00138	407777777413071		M. tuberculosis EAI3	Family N1
new		S00139	700036774000011		M. tuberculosis X3	Family N20
347		S00140	777736777760601		M. tuberculosis X2	Family N6
436		S00141	770376777760601		M. tuberculosis X2	Family N6
new		S00142	776036777760771		M. tuberculosis S	Family N39
new		S00143	700026777760771		M. tuberculosis X3	Family N20
new		S00144	476000377413071		M. tuberculosis EAI3	Family N1
421		S00145	676600000000371		Family35	Family N29
234		S00146	777777777413371		M. tuberculosis EAI5	Family N14
new		S00147	777777760000031		M. tuberculosis EAI1	Family N22
new		S00148	677777607740011		M. tuberculosis LAM1	Family N19
new		S00149	776573777777600		M. bovis-BCG	Family N7
new		S00150	177776777760601		M. tuberculosis X2	Family N6
new		S00151	700036777740031		M. tuberculosis X3	Family N20
new		S00152	777774777760601		M. tuberculosis X2	Family N6
523		S00153	777777777777771		Family33	Family N13
new		S00154	500076000000000		M. tuberculosis LAM7	Family N37
12		S00155	500036777760771		M. tuberculosis X3	Family N20
new		S00156	613776777760601		M. tuberculosis X2	Family N6
33		S00157	776177607760771		M. tuberculosis LAM3	Family N2
new		S00158	777777777420771		M. tuberculosis Haarlem3	Family N34
93		S00159	777737607760771		M. tuberculosis LAM9	Family N19
new		S00160	777737677760771		M. tuberculosis T1	Family N24
new		S00161	777777777320731		M. tuberculosis Haarlem3	Family N24
8		S00162	400037777413771		M. tuberculosis EAI5	Family N11
249		S00163	777640007760771		M. tuberculosis T4	Family N16
new		S00164	777037777413731		M. tuberculosis EAI5	Family N14
new		S00165	700036777760471		M. tuberculosis X3	Family N20
new		S00166	700036777760730		M. tuberculosis X3	Family N20
173		S00167	777767677760771		M. tuberculosis T1	Family N24
413		S00168	477777477413771		M. tuberculosis EAI2	Family N10
54		S00169	777777777763771		Family33	Family N13
284		S00170	037637777760771		M. tuberculosis T1	Family N24
481		S00171	676773677777600		M. bovis-BCG	Family N7
479		S00172	640013777777600		M. bovis-BCG	Family N12
409		S00173	264073777777600		M. bovis-BCG	Family N12
new		S00174	477777757413771		M. tuberculosis EAI5	Family N47
new		S00175	777737606760771		M. tuberculosis LAM9	Family N19
414		S00176	477777767413071		M. tuberculosis EAI3	Family N1
new		S00177	577777677760771		M. tuberculosis T1	Family N24
new		S00178	577777677720771		M. tuberculosis Haarlem3	Family N24
new		S00179	640013377777600		M. bovis-BCG	Family N12
441		S00180	777700277760771		M. tuberculosis X1	Family N44
new		S00181	777776777760401		M. tuberculosis X2	Family N6
2		S00182	000000004020771		M. tuberculosis Haarlem2	Family N25
245		S00183	777777777760671		M. tuberculosis T1	Family N24
new		S00184	777737777760671		M. tuberculosis T1	Family N24
335		S00185	777777607720771		M. tuberculosis LAM9	Family N19
new		S00186	007777607760771		M. tuberculosis LAM1	Family N19
496		S00187	777460007760771		M. tuberculosis T4	Family N16
266		S00188	775740003760771		M. tuberculosis T4	Family N16
264		S00189	777740003760771		M. tuberculosis T4	Family N16
495		S00190	776760003760771		M. tuberculosis T4	Family N16
new		S00191	777760007760731		M. tuberculosis T4	Family N16
254		S00192	777760007760771		M. tuberculosis T4	Family N16
new		S00193	777740003763771		M. tuberculosis T4	Family N16
new		S00194	777600000060771		M. tuberculosis T4	Family N16
new		S00195	000036777760771		M. tuberculosis X3	Family N20
58		S00196	777777557760771		M. tuberculosis T1	Family N24
19		S00197	677777477413771		M. tuberculosis EAI2	Family N10
new		S00198	477777775413760		M. tuberculosis EAI5	Family N14
269		S00199	000000000000771		M. tuberculosis Beijing	Family N3
265		S00200	000000000003371		M. tuberculosis Beijing	Family N3
290		S00201	777777606760771		M. tuberculosis LAM9	Family N19
51		S00202	777777777760700		M. tuberculosis T2	Family N30
505		S00203	777737777760700		M. tuberculosis T2	Family N30
204		S00204	737777777413771		M. tuberculosis EAI5	Family N14
new		S00205	777777757760711		M. tuberculosis T1	Family N24
new		S00206	773776407760601		M. tuberculosis LAM4	Family N4
new		S00207	477777737413071		M. tuberculosis EAI3	Family N1
403		S00208	777777743760731		M. tuberculosis LAM10	Family N21
new		S00209	777777777760561		M. tuberculosis T1	Family N24
26		S00210	703777740003771		M. tuberculosis CAS	Family N8
new		S00211	702377740003771		M. tuberculosis CAS	Family N8
477		S00212	577777777413731		M. tuberculosis EAI5	Family N14
474		S00213	467777777413031		M. tuberculosis EAI3	Family N1
9		S00214	401776777760601		M. tuberculosis X2	Family N6
new		S00215	777776777560731		M. tuberculosis X1	Family N44
new		S00216	577677777760771		M. tuberculosis T1	Family N24
46		S00217	777777770000000		Family34	Family N22
new		S00218	774000017760771		M. tuberculosis T3	Family N28
new		S00219	777737770000071		M. tuberculosis Haarlem1	Family N5
260		S00220	000000000003171		M. tuberculosis Beijing	Family N3
new		S00221	777773776760771		M. tuberculosis T1	Family N24
new		S00222	777773676760730		M. tuberculosis T1	Family N24
new		S00223	777777677763771		Family33	Family N13
246		S00224	777777777777731		Family33	Family N13
452		S00225	777777606360771		M. tuberculosis LAM9	Family N19
406		S00226	000000000000731		M. tuberculosis Beijing	Family N3
449		S00227	777776757760771		M. tuberculosis X1	Family N44
new		S00228	777777407760771		M. tuberculosis LAM9	Family N19
new		S00229	077777777760771		M. tuberculosis T1	Family N24
new		S00230	700076700000071		M. tuberculosis CAS	Family N8
new		S00231	757776777760771		M. tuberculosis X1	Family N44
41		S00232	777777404760771		M. tuberculosis LAM9	Family N19
new		S00233	777600774413771		M. tuberculosis EAI4	Family N14
new		S00234	777740777760731		M. tuberculosis X1	Family N44
440		S00235	777607607760771		M. tuberculosis LAM9	Family N19
new		S00236	767777777760471		M. tuberculosis T1	Family N24
425		S00237	700076774160771		M. tuberculosis X3	Family N20
49		S00238	777777777720731		M. tuberculosis Haarlem3	Family N24
34		S00239	776377777760771		M. tuberculosis S	Family N39
new		S00240	707777607760771		M. tuberculosis LAM9	Family N19
47		S00241	777777774020771		M. tuberculosis Haarlem1	Family N5
new		S00242	664073777777600		M. bovis-BCG	Family N12
new		S00243	656573777777600		M. bovis-BCG	Family N7
446		S00244	777760016760601		M. tuberculosis LAM4	Family N36
457		S00245	777777777320771		M. tuberculosis Haarlem3	Family N24
237		S00246	777777777700000		M. tuberculosis T2	Family N23
25		S00247	703777740003171		M. tuberculosis CAS	Family N8
new		S00248	770000757760771		M. tuberculosis T3	Family N28
new		S00249	737776777760731		M. tuberculosis X1	Family N44
new		S00250	657776777760771		M. tuberculosis X1	Family N44
new		S00251	776377770760731		M. tuberculosis S	Family N39
new		S00252	777777747413731		M. tuberculosis EAI5	Family N14
new		S00253	377776777760711		M. tuberculosis X1	Family N44
new		S00254	477777374003771		M. tuberculosis EAI4	Family N14
new		S00255	577767076640651		M. tuberculosis H37Rv	Family N24
new		S00256	177776407760401		M. tuberculosis LAM4	Family N4
new		S00257	776137607760631		M. tuberculosis LAM3	Family N2
405		S00258	777777000000011		M. tuberculosis EAI1	Family N29
3		S00259	000000007720771		Family36	Family N32
new		S00260	077757607760731		M. tuberculosis LAM1	Family N19
new		S00261	377740777760771		M. tuberculosis X1	Family N44
508		S00262	777776377760771		M. tuberculosis X1	Family N44
new		S00263	776377770760771		M. tuberculosis S	Family N39
159		S00264	777740017760771		M. tuberculosis T4	Family N16
new		S00265	675737607760771		M. tuberculosis LAM2	Family N19
		S00266_corrected	777737607700371		M. tuberculosis LAM5	Family N38
153		S00267	757777777760731		M. tuberculosis T1	Family N24
new		S00268	700076657760771		M. tuberculosis X3	Family N20
59		S00269	777777606060771		M. tuberculosis LAM8	Family N27
7		S00270	377777777760771		M. tuberculosis T1	Family N24
new		S00271	477777777013771		M. tuberculosis EAI5	Family N47
new		S00272	477777077413771		M. tuberculosis EAI2	Family N10
450		S00273	777776770000000		Family34	Family N22
new		S00274	600000177760711		M. tuberculosis X3	Family N20
199		S00275	700076760000011		M. tuberculosis EAI1	Family N22
new		S00276	777777374020771		M. tuberculosis Haarlem1	Family N5
new		S00277	037777777000371		M. tuberculosis EAI5	Family N34
154		S00278	757777777760771		M. tuberculosis T1	Family N24
new		S00279	777777777740071		M. tuberculosis T1	Family N24
new		S00280	037775770060771		M. tuberculosis Haarlem1	Family N5
272		S00281	037777777760771		M. tuberculosis T1	Family N24
61		S00282	777777743760771		M. tuberculosis LAM10	Family N21
new		S00283	777737206060771		M. tuberculosis LAM8	Family N27
new		S00284	777740777760531		M. tuberculosis X1	Family N44
new		S00285	676753777677600		M. bovis-BCG	Family N7
new		S00286	777737774413771		M. tuberculosis EAI4	Family N14
455		S00287	777777760360771		M. tuberculosis T1	Family N24
340		S00288	474377777413771		M. tuberculosis EAI5	Family N47
new		S00289	676177607760771		M. tuberculosis LAM3	Family N2
new		S00290	330777777767671		M. africanum	Family N18
new		S00291	777776777760701		M. tuberculosis X1	Family N44
new		S00292	777600777760700		M. tuberculosis T2	Family N30
138		S00293	777777777413700		M. tuberculosis EAI5	Family N14
501		S00294	777700377760771		M. tuberculosis X1	Family N44
new		S00295	777737607700031		M. tuberculosis LAM5	Family N38
519		S00296	777777777740371		M. tuberculosis T1	Family N24
new		S00297	777777777777601		Family33	Family N13
new		S00298	377777374413771		M. tuberculosis EAI4	Family N14
new		S00299	700037776360771		M. tuberculosis X3	Family N20
445		S00300	777756777760601		M. tuberculosis X2	Family N6
new		S00301	700036777763771		M. tuberculosis X3	Family N13
new		S00302	777777777770331		M. tuberculosis T1	Family N13
465		S00303	777417737700000		M. tuberculosis T2	Family N23
453		S00304	777777677560771		M. tuberculosis T1	Family N24
new		S00305	777737777413771		M. tuberculosis EAI5	Family N14
new		S00306	777777777413730		M. tuberculosis EAI5	Family N14
497		S00307	777677777413771		M. tuberculosis EAI5	Family N14
new		S00308	777577777413771		M. tuberculosis EAI5	Family N14
new		S00309	717777477413731		M. tuberculosis EAI5	Family N10
new		S00310	700076777760600		M. tuberculosis X3	Family N20
new		S00311	617777774020771		M. tuberculosis Haarlem1	Family N5
new		S00312	477740001760771		M. tuberculosis T4	Family N16
new		S00313	777500003760771		M. tuberculosis T4	Family N16
new		S00314	777000000000371		Family35	Family N29
252		S00315	777477607760771		M. tuberculosis LAM9	Family N19
499		S00316	777700000060771		M. tuberculosis T4	Family N16
500		S00317	777700001760771		M. tuberculosis T4	Family N16
278		S00318	777777777760761		M. tuberculosis T1	Family N24
new		S00319	777774004020771		M. tuberculosis LAM8	Family N27
new		S00320	777772777760601		M. tuberculosis X2	Family N6
150		S00321	777767607760771		M. tuberculosis LAM9	Family N19
176		S00322	777737607560771		M. tuberculosis LAM9	Family N19
new		S00323	777777663760731		M. tuberculosis T1	Family N24
new		S00324	777637777420771		M. tuberculosis Haarlem3	Family N34
new		S00325	003777607760771		M. tuberculosis LAM1	Family N19
506		S00326	777760003760771		M. tuberculosis T4	Family N16
new		S00327	777740000160771		M. tuberculosis T4	Family N16
new		S00328	777740007760771		M. tuberculosis T4	Family N16
417		S00329	577777770060771		M. tuberculosis Haarlem1	Family N5
476		S00330	577776777760601		M. tuberculosis X2	Family N6
432		S00331	735777777760731		M. tuberculosis T1	Family N24
new		S00332	775775757760771		M. tuberculosis T1	Family N24
new		S00333	440013777777600		M. bovis-BCG	Family N12
new		S00334	777737776413731		M. tuberculosis EAI5	Family N14
new		S00335	300036777760771		M. tuberculosis X3	Family N20
new		S00336	777777764120771		M. tuberculosis Haarlem3	Family N24
new		S00337	763777777413700		M. tuberculosis EAI5	Family N14
39		S00338	777777347760471		M. tuberculosis T1	Family N24
280		S00339	770000777760771		M. tuberculosis T3	Family N28
494		S00340	776377777760711		M. tuberculosis S	Family N39
new		S00341	777777677560671		M. tuberculosis T1	Family N24
36		S00342	777737777720771		M. tuberculosis Haarlem3	Family N24
513		S00343	777777717760731		M. tuberculosis T1	Family N24
new		S00344	677737607700771		M. tuberculosis LAM5	Family N38
new		S00345	757776777760571		M. tuberculosis X1	Family N44
new		S00346	777774377740771		M. tuberculosis X1	Family N44
new		S00347	770777777747671		M. africanum	Family N18
new		S00348	747773777460771		M. tuberculosis T1	Family N24
new		S00349	777777774020760		M. tuberculosis Haarlem1	Family N5
487		S00350	740000004020771		M. tuberculosis LAM7	Family N25
516		S00351	777777777360771		M. tuberculosis T1	Family N24
new		S00352	776377777720771		M. tuberculosis S	Family N39
new		S00353	776176607760771		M. tuberculosis LAM3	Family N2
new		S00354	777775774020771		M. tuberculosis Haarlem1	Family N5
new		S00355	777777400000371		M. tuberculosis LAM8	Family N27
new		S00356	560000007760771		M. tuberculosis T3	Family N32
430		S00357	704003347760471		M. tuberculosis T3	Family N40
new		S00358	777777740003171		M. tuberculosis EAI4	Family N14
new		S00359	777177000020771		M. tuberculosis LAM8	Family N27
73		S00360	777737777760731		M. tuberculosis T1	Family N48
433		S00361	757777777320771		M. tuberculosis Haarlem3	Family N24
new		S00362	777777607760711		M. tuberculosis LAM9	Family N19
163		S00363	777777607760700		M. tuberculosis LAM9	Family N19
130		S00364	776177607760731		M. tuberculosis LAM3	Family N2
new		S00365	777777607000771		M. tuberculosis LAM9	Family N27
new		S00366	000000000003031		M. tuberculosis Beijing	Family N3
334		S00367	577777777760771		M. tuberculosis T1	Family N24
124		S00368	777777777700771		M. tuberculosis Haarlem3	Family N24
100		S00369	777777777773771		Family33	Family N13
295		S00370	776377763760771		M. tuberculosis S	Family N39
96		S00371	777777750003371		M. tuberculosis EAI4	Family N14
62		S00372	777777774020731		M. tuberculosis Haarlem1	Family N5
new		S00373	000200000000000		M. microti	Family N37
21		S00374	703377400001771		M. tuberculosis CAS	Family N15
32		S00375	776000000000171		M. tuberculosis LAM7	Family N29
new		S00376	770000740020771		M. tuberculosis T3	Family N28
new		S00377	777776777740001		M. tuberculosis X2	Family N6
488		S00378	760777774020771		M. tuberculosis Haarlem1	Family N5
new		S00379	000000007777731			Family N40
522		S00380	777777777760770		M. tuberculosis T1	Family N24
191		S00381	177777777760771		M. tuberculosis T1	Family N24
507		S00382	777776037760771		M. tuberculosis H37Rv	Family N44
new		S00383	773777777760031		M. tuberculosis T1	Family N24
new		S00384	400177777760771		M. tuberculosis X3	Family N39
new		S00385	774077743760771		M. tuberculosis S	Family N21
189		S00386	777741777760771		M. tuberculosis T1	Family N24
new		S00387	777777773760771		M. tuberculosis T1	Family N24
40		S00388	777777377760771		M. tuberculosis T1	Family N24
new		S00389	777737777423771		Family33	Family N13
new		S00390	777735777423771		Family33	Family N13
251		S00391	774000000760771		M. tuberculosis T3	Family N16
new		S00392	777777770003171		M. tuberculosis EAI4	Family N14
new		S00393	777737777420731		M. tuberculosis Haarlem3	Family N34
new		S00394	777700000000011		Family35	Family N29
new		S00395	000000000003711		M. tuberculosis Beijing	Family N3
new		S00396	000000000000600		M. microti	Family N3
new		S00397	074000030000600		M. tuberculosis T3	Family N28
new		S00398	777777744020771		M. tuberculosis Haarlem1	Family N5
new		S00399	677737606760771		M. tuberculosis LAM2	Family N19
new		S00400	677737607720771		M. tuberculosis LAM2	Family N19
new		S00401	776077777760771		M. tuberculosis S	Family N39
new		S00402	777774177720771		M. tuberculosis Haarlem3	Family N24
new		S00403	777777677760770		M. tuberculosis T1	Family N24
175		S00404	777777677760731		M. tuberculosis T1	Family N24
new		S00405	766377777760771		M. tuberculosis S	Family N39
448		S00406	777767777720731		M. tuberculosis Haarlem3	Family N24
521		S00407	777777777760611		M. tuberculosis T1	Family N24
new		S00408	777760047760071		M. tuberculosis T4	Family N16
485		S00409	703777400003771		M. tuberculosis CAS	Family N15
new		S00410	677777607740771		M. tuberculosis LAM1	Family N19
370		S00411	777777747760471		M. tuberculosis T1	Family N24
1922		S00412	777702777760771		M. tuberculosis X1	Family N44
new		S00413	677777607060731		M. tuberculosis LAM1	Family N19
new		S00414	777757757413371		M. tuberculosis EAI5	Family N14
new		S00415	767777777760571		M. tuberculosis T1	Family N24
207		S00416	767777777720771		M. tuberculosis Haarlem3	Family N24
new		S00417	777777777763571		Family33	Family N13
4		S00418	000000007760771		Family36	Family N32
new		S00419	017777600000371		M. tuberculosis LAM8	Family N27
492		S00420	773777607760771		M. tuberculosis LAM9	Family N19
new		S00421	760777607760771		M. tuberculosis LAM9	Family N19
new		S00422	777777606060731		M. tuberculosis LAM8	Family N27
new		S00423	777776777560771		M. tuberculosis X1	Family N44
102		S00424	777703777760771		M. tuberculosis T1	Family N24
new		S00425	771777777720771		M. tuberculosis Haarlem3	Family N24
new		S00426	437777607760771		M. tuberculosis LAM1	Family N19
1933		S00427	777777607760770		M. tuberculosis LAM9	Family N19
new		S00428	777767477760771		M. tuberculosis H37Rv	Family N24
376		S00429	376177607760771		M. tuberculosis LAM3	Family N2
new		S00430	777776777760700		M. tuberculosis T2	Family N30
new		S00431	607777637760771		M. tuberculosis T1	Family N24
480		S00432	674777477411771		M. tuberculosis EAI2	Family N10
410		S00433	377774077760771		M. tuberculosis H37Rv	Family N44
new		S00434	777777777420731		M. tuberculosis Haarlem3	Family N34
new		S00435	773603774360771		M. tuberculosis T1	Family N24
new		S00436	677737477413771		M. tuberculosis EAI2	Family N10
469		S00437	077777607760771		M. tuberculosis LAM1	Family N19
new		S00438	757777777420771		M. tuberculosis Haarlem3	Family N34
new		S00439	777606777760771		M. tuberculosis X1	Family N44
149		S00440	777000377760771		M. tuberculosis T3	Family N28
new		S00441	700076777763771		Family33	Family N13
427		S00442	703707740003771		M. tuberculosis CAS	Family N8
127		S00443	577777777420771		M. tuberculosis Haarlem3	Family N34
412		S00444	437777606060600		M. tuberculosis LAM8	Family N27
new		S00445	743777700003371		M. tuberculosis CAS	Family N8
new		S00446	777703700003371		M. tuberculosis EAI4	Family N14
new		S00447	437777777720771		M. tuberculosis Haarlem3	Family N24
418		S00448	617777777720771		M. tuberculosis Haarlem3	Family N24
463		S00449	777777777720571		M. tuberculosis Haarlem3	Family N24
515		S00450	777777776760731		M. tuberculosis T1	Family N24
new		S00451	737777777403771		M. tuberculosis EAI5	Family N14
new		S00452	774777777760771		M. tuberculosis T1	Family N24
new		S00453	777777777413631		M. tuberculosis EAI5	Family N14
new		S00454	777776407360601		M. tuberculosis LAM4	Family N4
514		S00455	777777774413731		M. tuberculosis EAI4	Family N14
new		S00456	700036776060771		M. tuberculosis X3	Family N20
new		S00457	777777707760771		M. tuberculosis LAM9	Family N19
new		S00458	700076377760771		M. tuberculosis X3	Family N20
new		S00459	720036777760731		M. tuberculosis X3	Family N20
new		S00460	471777777413071		M. tuberculosis EAI3	Family N1
473		S00461	401777777413071		M. tuberculosis EAI3	Family N1
new		S00462	777767777413600		M. tuberculosis EAI5	Family N14
new		S00463	777737400413731		M. tuberculosis EAI4	Family N14
new		S00464	737777777401761		M. tuberculosis EAI5	Family N14
462		S00465	777777777560771		M. tuberculosis T1	Family N24
new		S00466	740076777760601		M. tuberculosis X3	Family N20
442		S00467	777737377760771		M. tuberculosis T1	Family N24
460		S00468	777777777413751		M. tuberculosis EAI5	Family N14
new		S00469	677777477413700		M. tuberculosis EAI2	Family N10
new		S00470	777777744720771		M. tuberculosis Haarlem3	Family N24
77		S00471	743777777760771		M. tuberculosis T1	Family N24
new		S00472	676673757777600		M. bovis-BCG	Family N7
new		S00473	776177607360731		M. tuberculosis LAM3	Family N2
471		S00474	303777740003771		M. tuberculosis CAS	Family N8
new		S00475	017703777760771		M. tuberculosis T1	Family N24
new		S00476	677737607760700		M. tuberculosis LAM2	Family N19
new		S00477	777773607760731		M. tuberculosis LAM9	Family N19
new		S00478	777737777320771		M. tuberculosis Haarlem3	Family N24
424		S00479	677777477413711		M. tuberculosis EAI2	Family N10
292		S00480	777777757413371		M. tuberculosis EAI5	Family N14
new		S00481	776277777760771		M. tuberculosis S	Family N39
new		S00482	477777777760731		M. tuberculosis T1	Family N24
new		S00483	777737777760031		M. tuberculosis T1	Family N48
60		S00484	777777607760731		M. tuberculosis LAM9	Family N19
new		S00485	656573377777600		M. bovis-BCG	Family N7
new		S00486	300036777763771		M. tuberculosis X3	Family N13
356		S00487	703777600001771		M. tuberculosis CAS	Family N8
new		S00488	703777700003171		M. tuberculosis CAS	Family N8
new		S00489	677777607760671		M. tuberculosis LAM1	Family N19
71		S00490	776337777760771		M. tuberculosis S	Family N39
new		S00491	773777774020771		M. tuberculosis Haarlem1	Family N5
new		S00492	776776707760601		M. tuberculosis X2	Family N6
470		S00493	177777777413771		M. tuberculosis EAI5	Family N14
89		S00494	674000003413771		M. tuberculosis EAI2	Family N41
new		S00495	777777377413771		M. tuberculosis EAI5	Family N14
new		S00496	777777000000371		M. tuberculosis LAM8	Family N27
new		S00497	741737777760731		M. tuberculosis T1	Family N48
new		S00498	754377607760700		M. tuberculosis LAM9	Family N19
new		S00499	741737777760671		M. tuberculosis T1	Family N24
78		S00500	777777777760711		M. tuberculosis T1	Family N24
new		S00501	477777437413771		M. tuberculosis EAI2	Family N10
new		S00502	600000000760731		Family36	Family N32
new		S00503	747737777760731		M. tuberculosis T1	Family N48
484		S00504	700036777740171		M. tuberculosis X3	Family N20
